Rk,Player,Age,Tm,Pos,GP,G,A,PTS,PPP,+/-,PIM,EV Goals,PP Goals,SH Goals,GWG,EV Assists,PP Assists,SH Assists,S,S%,ATOI,BLK,HIT,FOW,FOL,FO%
1,Leon Draisaitl,24,EDM,C,71,43,67,110,44,-7,18,27,16,0,10,39,28,0,218,19.7,22:37,19,27,662,608,52.1
2,Connor McDavid,23,EDM,C,64,34,63,97,43,-6,28,23,11,0,6,31,32,0,212,16,21:52,18,37,320,350,47.8
3,Artemi Panarin,28,NYR,LW,69,32,63,95,24,36,20,25,7,0,4,46,17,0,209,15.3,20:36,18,25,1,1,50
4,David Pastrnak,23,BOS,RW,70,48,47,95,38,21,40,28,20,0,10,29,18,0,279,17.2,18:58,22,47,7,11,38.9
5,Nathan MacKinnon,24,COL,C,69,35,58,93,31,13,12,23,12,0,4,39,19,0,318,11,21:13,31,51,363,478,43.2
6,Brad Marchand,31,BOS,LW,70,28,59,87,28,25,82,22,5,1,5,34,23,2,185,15.1,19:27,19,55,22,29,43.1
7,Nikita Kucherov,26,TBL,RW,68,33,52,85,25,26,38,29,4,0,6,31,21,0,210,15.7,18:52,19,37,0,1,0
8,Patrick Kane,31,CHI,RW,70,33,51,84,23,8,40,25,8,0,2,36,15,0,275,12,21:20,19,24,1,3,25
9,Auston Matthews,22,TOR,C,70,47,33,80,25,19,8,35,12,0,5,20,13,0,290,16.2,20:58,60,40,506,415,54.9
10,Jack Eichel,23,BUF,C,68,36,42,78,27,5,34,24,11,1,9,26,16,0,227,15.9,22:06,42,40,615,696,46.9
11,Jonathan Huberdeau,26,FLA,LW,69,23,55,78,29,5,30,18,5,0,3,31,24,0,152,15.1,18:46,26,51,24,37,39.3
12,John Carlson,30,WSH,D,69,15,60,75,26,12,26,13,2,0,6,36,24,0,189,7.9,24:38,108,55,0,1,0
13,Mika Zibanejad,26,NYR,C,57,41,34,75,27,9,14,23,15,3,6,20,12,2,208,19.7,21:38,49,51,592,612,49.2
14,Evgeni Malkin,33,PIT,C,55,25,49,74,24,7,58,18,7,0,5,32,17,0,171,14.6,19:31,22,38,441,435,50.3
15,Kyle Connor,23,WPG,LW,71,38,35,73,17,4,34,28,9,1,7,26,8,1,239,15.9,21:05,17,18,2,11,15.4
16,Mark Scheifele,26,WPG,C,71,29,44,73,20,2,45,19,10,0,6,34,10,0,170,17.1,21:48,49,34,605,685,46.9
17,J.T. Miller,26,VAN,C,69,27,45,72,25,11,47,18,9,0,3,27,16,2,165,16.4,20:06,38,123,425,293,59.2
18,Mitch Marner,22,TOR,RW,59,16,51,67,24,6,16,10,6,0,2,32,18,1,154,10.4,21:33,37,24,7,19,26.9
19,Alex Ovechkin,34,WSH,LW,68,48,19,67,18,-12,30,35,13,0,3,14,5,0,311,15.4,20:40,30,184,1,0,100
20,Sebastian Aho,22,CAR,F,68,38,28,66,17,10,26,26,8,4,5,18,9,1,206,18.4,19:25,20,55,409,480,46
21,Max Pacioretty,31,VEG,LW,71,32,34,66,19,18,44,24,8,0,5,23,11,0,307,10.4,17:55,35,90,51,45,53.1
22,Elias Pettersson,21,VAN,C,68,27,39,66,24,16,18,19,8,0,5,23,16,0,162,16.7,18:32,42,63,59,82,41.8
23,Steven Stamkos,29,TBL,C,57,29,37,66,19,14,22,19,10,0,6,28,9,0,176,16.5,18:25,38,69,365,307,54.3
24,Roman Josi,29,NSH,D,69,16,49,65,23,22,41,12,4,0,1,30,19,0,260,6.2,25:47,108,52,0,0,
25,Blake Wheeler,33,WPG,RW,71,22,43,65,22,1,37,17,4,1,2,24,18,1,180,12.2,19:19,51,102,325,327,49.8
26,Brayden Point,23,TBL,C,66,25,39,64,13,28,11,17,8,0,4,34,5,0,141,17.7,18:54,30,24,397,380,51.1
27,Patrik Laine,21,WPG,RW,68,28,35,63,16,8,22,20,8,0,1,27,8,0,226,12.4,19:25,35,97,10,17,37
28,Mark Stone,27,VEG,RW,65,21,42,63,17,15,27,15,6,0,3,30,11,1,168,12.5,19:25,51,56,16,30,34.8
29,Teuvo Teravainen,25,CAR,F,68,15,48,63,21,20,8,10,4,1,1,28,17,3,182,8.2,19:12,30,18,26,27,49.1
30,Aleksander Barkov,24,FLA,C,66,20,42,62,20,2,18,13,7,0,2,28,13,1,172,11.6,20:01,35,21,653,550,54.3
31,Anze Kopitar,32,LAK,C,70,21,41,62,21,6,16,13,7,1,5,27,14,0,135,15.6,21:02,56,49,777,631,55.2
32,Travis Konecny,22,PHI,C,66,24,37,61,23,-1,28,19,5,0,3,19,18,0,141,17,16:48,30,63,24,25,49
33,Ryan Nugent-Hopkins,26,EDM,C,65,22,39,61,24,1,33,15,7,0,4,22,17,0,172,12.8,20:28,44,33,205,199,50.7
34,Ryan O'Reilly,28,STL,C,71,12,49,61,18,11,10,9,2,1,3,33,16,0,118,10.2,20:34,42,16,880,676,56.6
35,Andrei Svechnikov,19,CAR,RW,68,24,37,61,20,9,54,18,6,0,5,23,14,0,183,13.1,16:44,27,116,0,1,0
36,Tomas Tatar,29,MTL,C,68,22,39,61,14,5,36,14,8,0,1,33,6,0,162,13.6,16:18,24,79,9,16,36
37,Matthew Tkachuk,22,CGY,LW,69,23,38,61,19,-5,74,18,5,0,4,24,14,0,188,12.2,18:18,22,122,0,4,0
38,Mathew Barzal,22,NYI,C,68,19,41,60,12,5,44,15,4,0,2,33,8,0,171,11.1,20:03,43,22,228,320,41.6
39,David Perron,31,STL,LW,71,25,35,60,27,2,52,16,9,0,9,17,18,0,166,15.1,18:19,19,67,3,5,37.5
40,John Tavares,29,TOR,C,63,26,34,60,21,-7,24,19,7,0,4,20,14,0,197,13.2,19:33,31,32,617,499,55.3
41,Jonathan Toews,31,CHI,C,70,18,42,60,8,-2,48,16,1,1,3,35,7,0,172,10.5,19:47,35,56,856,638,57.3
42,Sean Couturier,27,PHI,C,69,22,37,59,13,21,30,18,4,0,4,28,9,0,185,11.9,19:50,26,60,543,367,59.7
43,Mike Hoffman,30,FLA,C,69,29,30,59,21,-5,28,18,11,0,3,20,10,0,214,13.6,16:50,22,33,7,8,46.7
44,William Nylander,23,TOR,C,68,31,28,59,17,-2,12,22,9,0,7,20,8,0,197,15.7,18:13,14,9,106,106,50
45,Ryan Strome,26,NYR,C,70,18,41,59,17,21,48,15,3,0,3,26,14,1,154,11.7,19:35,32,45,496,548,47.5
